id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
182,PG,0,0.352,0.25,4.7,11.4,6.6,305784
183,PG,9.25,0.41,0.32275,3.05,10.85,4.225,1321471.5
184,PG,49.83333333,0.464166667,0.365833333,2.016666667,15.2,6.05,2183354.667
185,C,12,0.411833333,0,5.716666667,6.4,1.466666667,1762559
186,C,30.375,0.385125,0.15625,5.85,4.5625,1.05,3604793.25
187,SG,5.666666667,0.358333333,0.254,3.366666667,9.2,4.1,1244980.667
188,PF,16.9,0.5417,0.0752,4.75,10.13,1.94,4694607
189,PG,0,0.28,0.2,1.1,9.3,4.4,473604
190,PG,69,0.441,0.37225,2.225,14.725,6.15,5827002.625
191,PG,0,0.15,0,3.4,3.9,3.5,66999
192,PF,10.28571429,0.393142857,0.355428571,5.242857143,14.78571429,1.414285714,2246514.857
193,SG,8.166666667,0.364166667,0.348333333,2.783333333,12.48333333,1.466666667,2168491
194,PF,0,0.409,0,9.5,11.2,0.4,187357
195,SF,8.333333333,0.436666667,0.383333333,4.3,18.16666667,1.9,2202868
196,PG,0,0.42,0.35,1.4,18.1,3.4,202200
197,C,65.6,0.4612,0.1484,4.52,22,3.04,5900276.8
198,SF,49,0.396,0.374,3.5,17.4,1.9,1150000
199,SG,9,0.412,0.353,3.9,8.9,2.1,862000
200,SG,19.66666667,0.414444444,0.346222222,1.8,19.07777778,3.855555556,6937222.222
201,SG,24.75,0.4035,0.3,2.25,17.7,4.525,1380964.75
202,SG,0,0.421,0.27,2.5,14.7,2.7,1285200
203,PF,7,0.4045,0.3415,3.3,13,2.425,4255256.5
204,SF,13.66666667,0.414333333,0.317333333,3.1,11.43333333,2.1,768202
205,PF,11.33333333,0.477,0.0295,3.333333333,10.78333333,1.15,1386954.167
206,SG,0,0.3575,0.405,5.7,16.95,2.5,1182360
207,C,29.85714286,0.575428571,0.142857143,7.371428571,16.18571429,0.357142857,6569451.286
208,PG,0,0,0,0,0,0,26917
209,PG,0,0,0,9,0,4.5,148028
210,PG,68.33333333,0.4735,0.442333333,2.766666667,21.26666667,7.05,5536186.167
211,C,58.1,0.5155,0.1,4.31,11.35,0.91,8614328.9
212,C,46,0.535,0.047571429,4.214285714,7.5,1.157142857,7789927.286
213,PG,24.25,0.4345,0.28175,1.575,11.075,5.575,5600000
214,SF,14.25,0.443625,0.198625,2.7375,12.275,2.8,3928427.625
215,SG,0,0.37,0.364,3.6,16,2,816482
216,SF,1,0.483,0.45,2.6,18.1,1.6,1750000
217,SF,1,0.447,0,4.5,13.5,0.9,424944
218,PF,64.66666667,0.523333333,0.101666667,2.766666667,20.83333333,1.666666667,5375760
219,PG,54.71428571,0.402428571,0.310428571,3.085714286,16.8,8.185714286,13837454.43
220,C,4,0.4105,0,4.65,5.85,1.05,3500000
221,PF,13.5,0.556,0,4.025,11.8,1.275,2029286
