player_id,positions,height,weight,shoots,team,birthday,birthyear,birth_place,debut_date,experience
jackja01,"['Point Guard', 'Shooting Guard']",6-3,200,Right,,October 28,1983,"Fort Washgton, Maryland","November 2, 2005",11
fishede01,"['Point Guard', 'Shooting Guard']",6-1,200,Left,,August 9,1974,"Little Rock, Arkansas","November 1, 1996",
landrca01,['Power Forward'],6-9,248,Right,,September 19,1983,"Milwaukee, Wiscons","November 24, 2007",9
wallabe01,"['Center', 'Power Forward']",6-9,240,Right,,September 10,1974,"White Hall, Alabama","November 1, 1996",
bonnema01,"['Power Forward', 'Center']",6-10,235,Right,,April 5,1980,"Concord, New Hampshire","November 3, 2004",
anderry01,['Power Forward'],6-10,240,Right,Houston Rockets,May 6,1988,"Sacramento, California","October 29, 2008",8
dudleja01,"['Small Forward', 'Power Forward', 'Shooting Guard']",6-7,225,Right,Phoenix Suns,July 10,1985,"San Diego, California","November 2, 2007",9
pachuza01,['Center'],6-11,270,Right,Golden State Warriors,February 10,1984,"Tbilisi, Georgia","November 5, 2003",13
hamilri01,"['Shooting Guard', 'Small Forward']",6-6,185,Right,,February 14,1978,"Coatesville, Pennsylvania","November 2, 1999",
feltora01,"['Point Guard', 'Shooting Guard']",6-1,205,Right,Los Angeles Clippers,June 26,1984,"Marion, South Carola","November 2, 2005",11
ilgauzy01,['Center'],7-3,238,Right,,June 5,1975,"Kaunas, Lithuania","October 31, 1997",
monrogr01,"['Center', 'Power Forward']",6-11,265,Left,Milwaukee Bucks,June 4,1990,"New Orleans, Louisiana","October 30, 2010",6
iversal01,"['Shooting Guard', 'Point Guard']",6-0,165,Right,,June 7,1975,"Hampton, Virgia","November 1, 1996",
wallara01,"['Power Forward', 'Center']",6-10,225,Right,,September 17,1974,"Philadelphia, Pennsylvania","November 3, 1995",
dragigo01,"['Point Guard', 'Shooting Guard']",6-3,190,Left,Miami Heat,May 6,1986,"Ljubljana, Slovenia","October 29, 2008",8
hibbero01,['Center'],7-2,270,Right,Milwaukee Bucks,December 11,1986,"Queens, New York","October 29, 2008",8
goodedr01,"['Power Forward', 'Center', 'Small Forward']",6-10,250,Right,,September 24,1981,"Oakland, California","October 30, 2002",14
bibbymi01,['Point Guard'],6-1,190,Right,,May 13,1978,"Cherry Hill, New Jersey","February 7, 1999",
barbole01,"['Shooting Guard', 'Point Guard']",6-3,194,Right,Phoenix Suns,November 28,1982,"San Paulo, Brazil","November 12, 2003",13
rosede01,['Point Guard'],6-3,190,Right,New York Knicks,October 4,1988,"Chicago, Illois","October 28, 2008",7
fryech01,"['Power Forward', 'Center']",6-11,255,Right,Cleveland Cavaliers,May 17,1983,"White Plas, New York","November 4, 2005",10
maggeco01,"['Small Forward', 'Shooting Guard', 'Power Forward']",6-6,218,Right,,November 12,1979,"Melrose Park, Illois","November 2, 1999",
millebr01,"['Center', 'Power Forward']",6-11,244,Right,,April 12,1976,"Fort Wayne, Indiana","February 5, 1999",
davisan02,"['Power Forward', 'Center']",6-10,253,Right,New Orleans Pelicans,March 11,1993,"Chicago, Illois","October 31, 2012",4
brewero02,"['Shooting Guard', 'Small Forward']",6-7,220,Right,,March 20,1985,"Portland, Oregon","November 1, 2006",8
allento01,"['Shooting Guard', 'Point Guard']",6-4,213,Right,Memphis Grizzlies,January 11,1982,"Chicago, Illois","November 3, 2004",12
anderch01,"['Center', 'Power Forward']",6-10,245,Right,Cleveland Cavaliers,July 7,1978,"Long Beach, California","November 23, 2001",14
gordobe01,['Shooting Guard'],6-3,200,Right,,April 4,1983,"London, United Kgdom","November 5, 2004",
salmojo01,"['Shooting Guard', 'Small Forward', 'Point Guard']",6-7,210,Right,,December 12,1979,"Philadelphia, Pennsylvania","October 29, 2002",
biedran01,['Center'],6-11,240,Left,,April 2,1986,"Riga, Latvia","November 5, 2004",
ridnolu01,"['Point Guard', 'Shooting Guard']",6-2,175,Right,,February 13,1981,"Coeur d'Alene, Idaho","October 30, 2003",
hillgr01,"['Small Forward', 'Shooting Guard']",6-8,225,Right,,October 5,1972,"Dallas, Texas","November 4, 1994",
ilyaser01,['Power Forward'],6-10,235,Right,Philadelphia 76ers,May 15,1987,"Eskisehir, Turkey","November 1, 2006",8
afflaar01,"['Shooting Guard', 'Small Forward']",6-5,210,Right,Sacramento Kings,October 15,1985,"Los Angeles, California","November 1, 2007",9
mcdyean01,"['Power Forward', 'Center']",6-9,220,Right,,September 7,1974,"Quitman, Mississippi","November 3, 1995",
dampier01,['Center'],6-11,265,Right,,July 14,1975,"Jackson, Mississippi","November 6, 1996",
greenje02,"['Small Forward', 'Power Forward']",6-9,235,Right,Orlando Magic,August 28,1986,"Cheverly, Maryland","October 31, 2007",8
hayesch01,"['Center', 'Power Forward']",6-6,240,Right,,June 11,1983,"San Leandro, California","January 18, 2006",11
georgpa01,"['Small Forward', 'Shooting Guard']",6-9,220,Right,Indiana Pacers,May 2,1990,"Palmdale, California","October 27, 2010",6
gibsota01,['Power Forward'],6-9,225,Right,Chicago Bulls,June 24,1985,"Brooklyn, New York","October 29, 2009",7
lopezro01,['Center'],7-0,255,Right,Chicago Bulls,April 1,1988,"North Hollywood, California","October 29, 2008",8
howarjo01,['Small Forward'],6-7,210,Right,,April 28,1980,"Wston-Salem, North Carola","October 28, 2003",
leonaka01,['Small Forward'],6-7,230,Right,San Antonio Spurs,June 29,1991,"Los Angeles, California","December 26, 2011",5
arenagi01,['Point Guard'],6-3,191,Right,,January 6,1982,"Los Angeles, California","November 4, 2001",
chalmma01,['Point Guard'],6-2,190,Right,,May 19,1986,"Anchorage, Alaska","October 29, 2008",8
gallida01,"['Small Forward', 'Shooting Guard', 'Power Forward']",6-10,225,Right,Denver Nuggets,August 8,1988,"Sant'Angelo Lodigiano, Italy","October 29, 2008",7
robinna01,['Point Guard'],5-9,180,Right,,May 31,1984,"Seattle, Washgton","November 2, 2005",11
davisba01,['Point Guard'],6-3,209,Right,,April 13,1979,"Los Angeles, California","November 2, 1999",
reddmi01,"['Shooting Guard', 'Small Forward']",6-6,220,Left,,August 24,1979,"Columbus, Ohio","November 2, 2000",
humphkr01,"['Power Forward', 'Small Forward']",6-9,235,Right,Atlanta Hawks,February 6,1985,"Mneapolis, Mnesota","November 3, 2004",12
teaguje01,['Point Guard'],6-2,186,Right,Indiana Pacers,June 10,1988,"Indianapolis, Indiana","October 28, 2009",7
augusdj01,['Point Guard'],6-0,183,Right,Orlando Magic,November 10,1987,"New Orleans, Louisiana","October 30, 2008",8
perkike01,['Center'],6-10,270,Right,,November 10,1984,"Nederland, Texas","December 13, 2003",13
blakest01,['Point Guard'],6-3,172,Right,,February 26,1980,"Hollywood, Florida","October 29, 2003",13
sefolth01,"['Shooting Guard', 'Small Forward']",6-7,220,Right,Atlanta Hawks,May 2,1984,"Vevey, Switzerland","October 31, 2006",10
haywobr01,['Center'],7-0,268,Right,,November 27,1979,"New York, New York","November 27, 2001",
stuckro01,"['Point Guard', 'Shooting Guard']",6-5,210,Right,Indiana Pacers,April 21,1986,"Seattle, Washgton","December 21, 2007",9
jennibr01,['Point Guard'],6-1,170,Left,New York Knicks,September 23,1989,"Compton, California","October 30, 2009",7
udrihbe01,"['Point Guard', 'Shooting Guard']",6-3,205,Left,Detroit Pistons,July 5,1982,"Celje, Slovenia","November 3, 2004",12
harrial01,"['Power Forward', 'Center', 'Small Forward']",6-9,230,Right,,February 17,1980,"Orange, New Jersey","February 5, 1999",
butleji01,"['Shooting Guard', 'Small Forward']",6-7,220,Right,Chicago Bulls,September 14,1989,"Houston, Texas","January 1, 2012",5
collida01,['Point Guard'],6-0,175,Right,Sacramento Kings,August 23,1987,"Rancho Cucamonga, California","October 28, 2009",7
irvinky01,['Point Guard'],6-3,193,Right,Cleveland Cavaliers,March 23,1992,"Melbourne, Australia","December 26, 2011",5
leeco01,['Shooting Guard'],6-5,200,Right,New York Knicks,October 3,1985,"Indianapolis, Indiana","November 3, 2008",8
lillada01,['Point Guard'],6-3,195,Right,Portland Trail Blazers,July 15,1990,"Oakland, California","October 31, 2012",4
wrighdo01,['Small Forward'],6-9,205,Right,,December 2,1985,"Los Angeles, California","February 5, 2005",11
walljo01,['Point Guard'],6-4,195,Right,Washington Wizards,September 6,1990,"Raleigh, North Carola","October 28, 2010",6
derozde01,['Shooting Guard'],6-7,221,Right,Toronto Raptors,August 7,1989,"Compton, California","October 28, 2009",7
