Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
PF,67,66,2358,8,15.3,0.519,0,0.1,0.222,7.9,15.2,0.522,5.3,6.7,0.791,3.2,7.1,10.3,1.6,1.4,2.9,1.7,3.1,21.3,5607240
SG,55,28,1278,5.7,11.6,0.494,0.3,1.3,0.234,5.4,10.3,0.527,2.1,3.4,0.628,2.2,3.6,5.9,2.6,2.5,0.5,2.5,3.4,13.9,4831461
C,72,0,1396,4.6,7.1,0.644,0.1,0.3,0.25,4.5,6.8,0.662,3.1,4.4,0.71,3.3,6.4,9.8,0.5,0.8,2.5,1.4,4.2,12.3,5375000
SG,19,0,279,4.8,13.9,0.343,1,3.7,0.276,3.7,10.2,0.367,2.2,2.7,0.81,0.4,3.1,3.5,2.7,1.3,0.3,2.7,2.3,12.8,4500000
SG-SF,78,8,1726,3.1,8.6,0.363,1.3,3.4,0.387,1.8,5.2,0.348,0.8,1.1,0.769,0.4,3,3.4,3.1,1,0.4,1.1,2.6,8.4,2000000
SG-SF,78,8,1726,3.1,8.6,0.363,1.3,3.4,0.387,1.8,5.2,0.348,0.8,1.1,0.769,0.4,3,3.4,3.1,1,0.4,1.1,2.6,8.4,1000000
PG,61,14,1141,4,10.3,0.385,1.2,3.4,0.343,2.8,6.9,0.406,0.5,0.8,0.654,0.7,2.3,3.1,5.6,1,0.3,2.1,2.9,9.7,2750000
PF,55,47,1478,5.8,14.1,0.409,0.9,3.2,0.282,4.9,10.9,0.446,2.6,3.2,0.823,2.6,5.7,8.3,1.8,1.1,0.2,1.5,3.3,15.1,7900000
SG,73,73,2552,6.5,14.3,0.459,1.8,4.2,0.427,4.7,10,0.473,3.9,4.7,0.815,0.5,3.2,3.7,3.5,0.5,0,2.1,1.9,18.8,7750000
SF,82,82,2805,6.2,15,0.412,1.7,5.1,0.341,4.5,9.9,0.448,3.6,4.6,0.795,0.7,4.2,4.9,1.8,0.7,0.6,2.1,2.3,17.7,9445000
C,61,1,754,2.7,6.2,0.431,0,0,0,2.7,6.2,0.434,1,1.2,0.8,3.3,6.7,10,1.7,1.6,0.6,1.6,4.5,6.3,5958750
SF,80,80,2898,7.2,16.9,0.424,2.3,6.2,0.364,4.9,10.7,0.458,5,5.8,0.864,0.8,5.9,6.7,3.5,1.9,0.3,2.8,2.5,21.6,15925680
PF,82,8,2351,6.6,13.7,0.479,0,0.1,0,6.6,13.6,0.483,3.2,4.3,0.751,3.1,5.5,8.5,1.4,0.6,1.7,2.3,3.2,16.4,8000000
C,82,82,2603,4.9,8.9,0.551,0,0,0,4.9,8.9,0.552,2.7,3.3,0.818,4.5,5.2,9.7,1,0.3,1.9,1.2,2.7,12.6,6124728
SF,66,65,1923,6.3,12.1,0.522,1.3,3.4,0.379,5,8.7,0.579,1.9,2.4,0.802,1.4,6.3,7.7,2.5,2.1,0.9,1.5,2.4,15.8,2894059
PG,73,73,2178,4.2,9.3,0.454,1.4,3.7,0.385,2.8,5.5,0.5,2,2.7,0.742,0.7,2.9,3.5,5.9,2,0.3,2.7,3.5,11.8,4000000
PG,44,1,866,6.8,15.9,0.428,2.4,6.4,0.377,4.4,9.5,0.463,3,3.5,0.835,0.9,2.5,3.4,4.7,1.5,0.2,2.4,3.8,19,2106720
PG,44,1,866,6.8,15.9,0.428,2.4,6.4,0.377,4.4,9.5,0.463,3,3.5,0.835,0.9,2.5,3.4,4.7,1.5,0.2,2.4,3.8,19,154918
PF,69,30,1376,6,12.1,0.501,0,0.1,0,6,12,0.503,3.1,3.8,0.813,3.3,7.4,10.7,1.8,0.8,1.6,1.7,3.6,15.1,4300000
PG,79,79,2542,6.5,14.7,0.438,1,3.2,0.329,5.4,11.5,0.469,4.5,5.3,0.846,0.5,2.5,2.9,7.5,1.3,0.2,3.3,2.2,18.5,8000000
PG,71,9,1939,5.5,13.3,0.415,2.5,6.2,0.401,3.1,7.2,0.427,3.7,4.2,0.885,0.3,2.1,2.4,5.8,1,0.1,2.3,2.7,17.3,3000000
C,62,62,1207,2.6,5.8,0.451,0,0,0,2.6,5.7,0.453,1.1,2,0.552,2.4,6.7,9.1,2,0.8,1,2.7,5.3,6.3,9654342
C,62,62,1207,2.6,5.8,0.451,0,0,0,2.6,5.7,0.453,1.1,2,0.552,2.4,6.7,9.1,2,0.8,1,2.7,5.3,6.3,434547
PG,55,28,1498,3.2,8.5,0.377,1.9,5,0.376,1.3,3.4,0.378,0.8,1,0.767,0.3,3.5,3.8,7.4,1.3,0.2,2.5,2,9.1,2077000
SG,61,61,1584,3.2,7.7,0.415,1.1,3.5,0.316,2.1,4.3,0.495,1.2,1.6,0.768,1.1,3.9,5,2.1,1.8,0.4,1.2,2,8.7,4150000
SG,73,5,1950,6.9,15.7,0.436,0.4,1.6,0.273,6.4,14.1,0.455,4.5,5.4,0.836,0.7,2.4,3.1,2.8,1,0.2,2.3,2.4,18.7,1227985
PG,80,79,2728,5.6,15,0.373,2,6,0.337,3.5,8.9,0.397,3.2,4.2,0.751,0.8,2.4,3.2,8,1.3,0.1,2.8,2.1,16.4,8000000
SG,41,12,643,4.4,10,0.438,1.1,2.4,0.452,3.3,7.6,0.434,1.4,1.7,0.833,0.6,2.7,3.3,6.5,1.3,0.2,2.6,2.8,11.2,2077000
PF,34,0,511,5.8,14.6,0.396,2.4,7,0.34,3.4,7.5,0.449,1.9,2.5,0.771,1.1,4.6,5.6,2,1,0,2.4,5.1,15.9,3805000
SG,67,67,2591,3.8,9.6,0.397,0.9,3.3,0.283,2.9,6.3,0.457,3.6,4.7,0.769,1.2,3.4,4.6,2.4,1.8,0.5,1.4,1.5,12.2,2008748
PG,80,35,2069,5.6,12.1,0.467,1.2,3.3,0.376,4.4,8.8,0.501,3.3,3.9,0.857,0.8,2.5,3.3,5.2,1.6,0.3,2.3,2.6,15.9,4797664
PG,71,71,2496,7.7,17.8,0.43,1.8,5,0.358,5.9,12.9,0.458,4.2,4.9,0.861,0.7,3,3.7,6.2,1.6,0.3,2.7,2.4,21.3,7070730
SG,79,47,1973,5.4,11.2,0.48,1.3,3.5,0.371,4.1,7.7,0.531,1.8,2,0.884,0.5,2.9,3.4,2.1,1.2,0.5,1.3,2.3,13.9,5450000
PG,82,82,2937,6.8,16,0.424,2.7,6.8,0.394,4.1,9.2,0.447,4.5,5.2,0.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.8,3340920
SF,68,13,984,4.1,10.9,0.374,2.5,7.4,0.342,1.5,3.5,0.442,1.9,2.5,0.754,1.1,5.9,7,2.3,0.8,0.6,1.4,2.3,12.5,3150000
