player_id,Season,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
jordade01,2013,NBA,C,82,82,2870,4.4,6.5,0.676,0,0,,4.4,6.5,0.676,2,4.7,0.428,4.2,9.8,14,0.9,1,2.5,1.5,3.3,10.7,10986550
harride01,2013,NBA,PG,40,0,818,4.2,11.2,0.378,1.4,4.4,0.307,2.9,6.7,0.425,4,5.1,0.8,0.4,3.4,3.7,7.8,1.2,0.1,2.6,3.2,13.9,1272279
crawfja01,2013,NBA,SG,69,24,2094,7.2,17.4,0.416,2.8,7.7,0.361,4.5,9.7,0.46,4.8,5.5,0.866,0.6,2.1,2.7,3.8,1,0.2,2.3,2.1,22,5225000
turkohe01,2013,NBA,SF,38,0,392,3.9,10,0.385,2,4.6,0.44,1.8,5.4,0.339,0.8,1.7,0.5,1,7.2,8.2,3,1.7,0.9,1.5,4.6,10.6,12000000
varejan01,2013,NBA,C,65,29,1800,4.5,9.2,0.495,0,0.1,0,4.5,9,0.502,1.8,2.7,0.681,3.7,8.8,12.6,2.8,1.4,0.8,1.4,3.3,10.9,9036364
ibakase01,2013,NBA,PF,81,81,2666,7.1,13.2,0.536,0.3,0.8,0.383,6.8,12.4,0.546,2.1,2.7,0.784,3,6.5,9.6,1.1,0.5,3,1.7,3.1,16.6,12250000
nelsoja01,2013,NBA,PG,68,68,2179,4.9,12.3,0.394,2.2,6.5,0.348,2.6,5.9,0.444,1.6,1.9,0.857,0.5,3.3,3.8,7.9,0.9,0.1,2.7,2.4,13.5,8600000
hillge01,2013,NBA,PG,76,76,2434,4,9.1,0.442,1.4,3.8,0.365,2.6,5.3,0.497,2.1,2.6,0.807,0.8,3.4,4.2,3.9,1.1,0.3,1.4,2.3,11.6,8000000
kirilan01,2013,NBA,PF,45,4,857,3.4,6.7,0.513,0,0.2,0.2,3.4,6.5,0.523,2.6,5,0.513,2.3,3.8,6.1,3,1.7,0.8,2.3,2.7,9.5,3183000
gayru01,2013,NBA,SF,73,73,2531,7.6,16.8,0.455,0.9,2.8,0.33,6.7,14,0.481,4.5,5.5,0.822,1.6,4.6,6.2,3,1.4,0.8,3.2,2.4,20.7,17888931
scolalu01,2013,NBA,PF,82,2,1399,6.8,14.4,0.47,0,0.2,0.143,6.7,14.2,0.474,2.5,3.5,0.728,2.2,7.8,10.1,2.1,0.7,0.4,2.8,4.2,16.1,4508504
willima02,2013,NBA,PF,66,50,1674,5,11.3,0.439,1.8,5,0.359,3.2,6.3,0.503,1.2,1.6,0.781,1.8,5.4,7.2,1.7,1.2,0.7,1.1,3.2,13,7500000
gortama01,2013,NBA,C,81,80,2655,6.2,11.4,0.542,0,0,1,6.2,11.4,0.541,2.1,3.1,0.686,2.7,7.7,10.4,1.9,0.6,1.6,1.7,2.7,14.5,7727280
hinriki01,2013,NBA,PG,73,61,2116,4.1,10.5,0.393,1.4,4.1,0.351,2.7,6.4,0.419,1.6,2.1,0.76,0.5,2.7,3.3,4.9,1.4,0.4,2,3.5,11.3,4059000
dalemsa01,2013,NBA,C,80,68,1614,4.8,8.4,0.568,0,0,0,4.8,8.4,0.569,2.3,3.1,0.737,4.5,7.6,12.1,0.8,0.9,2.1,2,4.7,11.8,3700748
collini01,2013,NBA,PF,81,0,1353,3.6,6.4,0.556,0.1,0.5,0.235,3.5,6,0.58,1.8,2.5,0.71,3.1,4.7,7.8,2.8,0.8,0.7,1.9,5,9,2585668
johnsam01,2013,NBA,PF,77,72,2214,5.6,10,0.562,0.3,1.1,0.303,5.3,8.9,0.593,1.5,2.3,0.636,2.8,5.4,8.2,1.9,0.9,1.4,2,4.4,13,6500000
arizatr01,2013,NBA,SF,77,77,2723,5.1,11.3,0.456,2.4,5.8,0.407,2.8,5.4,0.509,2,2.6,0.772,1.3,5,6.3,2.5,1.7,0.3,1.7,2.4,14.6,7727280
lopezbr01,2013,NBA,C,17,17,533,8.7,15.5,0.563,0,0.1,0,8.7,15.4,0.566,6.3,7.8,0.817,2.6,4.3,6.9,1.1,0.6,2,1.9,3.5,23.8,14693906
smithjr01,2013,NBA,SF,74,37,2421,5.9,14.2,0.415,2.8,7.1,0.394,3.1,7.1,0.436,1.3,2.1,0.652,0.5,3.9,4.4,3.3,1,0.3,1.6,2.9,15.9,5565000
youngth01,2013,NBA,PF,79,78,2718,7.7,17,0.454,1.2,3.9,0.308,6.5,13.1,0.496,2.2,3,0.712,2.2,4.1,6.3,2.4,2.2,0.5,2.2,2.8,18.8,8600000
butleca01,2013,NBA,SF,56,13,1419,5.4,13.7,0.394,2.5,6.3,0.394,2.9,7.4,0.395,1.6,1.9,0.84,0.5,5.3,5.8,2.1,1.2,0.4,1.5,3,14.9,8000000
lawsoty01,2013,NBA,PG,62,61,2222,5.6,13.1,0.431,1.2,3.3,0.356,4.5,9.8,0.455,5.2,6.6,0.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.7,10786517
artesro01,2013,NBA,SF,29,1,388,5.2,13.1,0.397,1.6,5,0.315,3.6,8.1,0.448,0.9,1.5,0.625,1.7,3.8,5.5,1.6,2.2,0.7,1.8,4.1,12.9,1590000
batumni01,2013,NBA,SF,82,82,2956,4.6,10,0.465,1.8,4.9,0.361,2.9,5.1,0.566,2,2.5,0.803,1.4,6,7.4,5.1,0.9,0.7,2.5,1.9,13,11295250
