Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
C,3.0,0.457666666666667,0.0,5.06666666666667,9.53333333333333,1.23333333333333,2975000.0
PF,0.0,0.296,0.136,3.2,9.8,1.7,145961.0
PF,43.4444444444444,0.438222222222222,0.341222222222222,4.32222222222222,14.0333333333333,1.52222222222222,4168262.77777778
C,8.8,0.4722,0.0,6.4,11.62,1.16,5750530.0
C,0.0,0.0,0.0,0.0,0.0,0.0,92396.0
PG,0.0,0.5,0.0,0.7,8.7,2.0,1556160.0
SG,4.0,0.413,0.282333333333333,2.8,14.7,5.73333333333333,483618.0
SF,42.8,0.4208,0.3762,2.68,16.8,2.2,6089318.4
PG,41.0,0.399,0.352,3.2,13.2,3.7,235762.0
PF,30.0,0.37,0.3585,1.35,10.7,1.95,3875000.0
SF,13.0,0.409444444444444,0.339111111111111,3.72222222222222,12.2777777777778,2.27777777777778,2771560.0
SG,0.0,0.3205,0.212,2.35,12.8,0.75,406484.0
PF,64.9,0.5028,0.1732,2.87,17.39,3.2,17995897.8
PG,0.0,0.327,0.2,1.2,9.7,7.5,473604.0
PF,0.0,0.356333333333333,0.316,4.43333333333333,9.46666666666667,1.63333333333333,3525000.0
C,72.8571428571429,0.511571428571428,0.134428571428571,3.3,15.0571428571429,3.2,9616728.14285714
PF,67.8,0.5148,0.2899,2.16,18.35,3.53,15060100.0
SF,68.3333333333333,0.450444444444444,0.345333333333333,2.5,18.5333333333333,2.35555555555556,10312948.3333333
SF,34.6,0.4326,0.3336,3.06,11.58,1.68,1869853.0
SF,9.0,0.473,0.324666666666667,2.7,10.8,1.9,683766.0
SF,9.4,0.3928,0.3338,3.74,9.72,1.26,2508794.0
SF,48.8,0.4206,0.3634,3.34,17.5,2.92,5285280.6
PG,11.0,0.400571428571429,0.408714285714286,3.12857142857143,11.6285714285714,2.94285714285714,3157167.71428571
PF,19.8333333333333,0.486833333333333,0.0208333333333333,3.86666666666667,13.3666666666667,1.33333333333333,3509828.5
SF,0.5,0.567,0.0,4.45,14.2,1.0,993000.0
SF,0.0,1.0,0.0,0.0,14.4,0.0,26917.0
PG,0.333333333333333,0.425333333333333,0.434666666666667,5.46666666666667,11.3,5.93333333333333,452751.0
SG,23.2,0.456,0.3695,2.77,20.04,5.87,9883961.5
SG,14.0,0.445,0.365,3.53333333333333,14.4333333333333,2.33333333333333,4000000.0
PF,7.0,0.424,0.0,4.6,8.0,0.7,248263.0
C,4.0,0.471,0.0,8.4,7.6,0.4,161061.0
C,18.5,0.545,0.0,3.8,10.0,1.2,1103100.0
PG,0.0,0.143,0.0,0.0,3.3,3.3,74652.0
SF,46.375,0.425,0.283375,2.8875,11.5,1.6875,2320942.5
PF,40.375,0.437125,0.191375,3.7,14.8375,1.75,6389676.5
SG,1.0,0.424,0.216,3.35,14.3,2.2,1088340.0
PF,8.0,0.447,0.271,3.7,11.0,1.5,3992040.0
SG,26.6,0.4252,0.3844,2.89,18.25,3.2,8125869.9
PF,0.0,0.421,0.0,3.5,8.6,1.0,40000.0
SG,50.5714285714286,0.436285714285714,0.362428571428571,2.12857142857143,18.3857142857143,3.61428571428571,7877496.57142857
C,38.25,0.5395,0.28125,3.3375,13.7875,1.2375,5690832.75
SG,0.0,0.391,0.373,2.7,15.0,1.7,473604.0
